Address	Length	Original bytes	Patched bytes
0047EB99	0x1	13 	18 
0047EBF5	0x1	B7 	BC 
0047EF78	0x1	34 	39 
0047EF8C	0x1	20 	25 
0047EFB2	0x1	FA 	FF 
0048002B	0x1	81 	86 
0048003C	0x1	70 	75 
0048004D	0x1	5F 	64 
0048005E	0x1	4E 	53 
0048006F	0x1	3D 	42 
00480080	0x1	2C 	31 
00480091	0x1	1B 	20 
004800A2	0x1	0A 	0F 
004800B3	0x1	F9 	FE 
004800C4	0x1	E8 	ED 
004800D5	0x1	D7 	DC 
004800E6	0x1	C6 	CB 
004800F7	0x1	B5 	BA 
00480108	0x1	A4 	A9 
00480119	0x1	93 	98 
0048012A	0x1	82 	87 
0048013B	0x1	71 	76 
0048014C	0x1	60 	65 
0048015D	0x1	4F 	54 
00480E4B	0x1	61 	66 
00480F47	0x1	65 	6A 
00482200	0x1	AC 	B1 
0048267D	0x1	2F 	34 
0048271B	0x1	91 	96 
00482805	0x1	A7 	AC 
00488CBD	0x1	EF 	F4 
0048A825	0x1	87 	8C 
0048CB76	0x1	36 	3B 
0048CB89	0x1	23 	28 
0048CBA1	0x1	0B 	10 
0048CC79	0x1	33 	38 
0048D092	0x1	1A 	1F 
0048D460	0x1	4C 	51 
0048D602	0x1	AA 	AF 
0048D6BB	0x1	F1 	F6 
0048D828	0x1	84 	89 
0048D85E	0x1	4E 	53 
0048D952	0x1	5A 	5F 
0048E41B	0x1	91 	96 
0048E44E	0x1	5E 	63 
0048E9B6	0x1	F6 	FB 
0048EF3F	0x1	6D 	72 
0048F4CB	0x1	E1 	E6 
0048F63F	0x1	6D 	72 
0048F976	0x1	36 	3B 
0048FAAF	0x2	FD 21 	02 22 
0048FEB7	0x1	F5 	FA 
0048FFE1	0x1	CB 	D0 
00490268	0x1	44 	49 
004902A7	0x1	05 	0A 
00490306	0x1	A6 	AB 
0049178E	0x1	1E 	23 
004917AF	0x2	FD 04 	02 05 
00491B33	0x1	79 	7E 
00491B57	0x1	55 	5A 
00492042	0x1	6A 	6F 
0049205F	0x1	4D 	52 
004921B5	0x1	F7 	FC 
004925AF	0x2	FD F6 	02 F7 
004925D7	0x1	D5 	DA 
0049261E	0x1	8E 	93 
00492638	0x1	74 	79 
0049271E	0x1	8E 	93 
00492892	0x1	1A 	1F 
00493178	0x1	34 	39 
00493353	0x1	59 	5E 
00493414	0x1	98 	9D 
00493B09	0x1	A3 	A8 
00493D27	0x1	85 	8A 
00493DC9	0x1	E3 	E8 
00493E78	0x1	34 	39 
00494C7D	0x1	2F 	34 
00494ED8	0x1	D4 	D9 
00494F71	0x1	3B 	40 
004951E8	0x1	C4 	C9 
00495489	0x1	23 	28 
004963B6	0x1	F6 	FB 
004963CD	0x1	DF 	E4 
00496400	0x1	AC 	B1 
0049669E	0x1	0E 	13 
00496708	0x1	A4 	A9 
00496BBF	0x1	ED 	F2 
0049747F	0x1	2D 	32 
00497684	0x1	28 	2D 
00497953	0x1	59 	5E 
00497CA8	0x1	04 	09 
004980CC	0x1	E0 	EA 
00498705	0x1	A7 	B1 
004988BB	0x1	F1 	F6 
00498E00	0x1	AC 	B1 
004996B1	0x2	FB 85 	05 86 
